"Search Criteria: "

"Filing Operator:",,,"BLACKBEARD OPERATING, LLC (073056)",,,,,,District:,,Statewide
"Prod Month:",,," Oct 2021",,,,,,"Lease Type:",,Both

,,,,,,,,,"Oil/Condensate (Whole Barrels)",,,,,"Gas/Casinghead Gas - MCF",,
,,,,,,,,,,,Disposition,,,,Disposition,
"Multiple Reports","Lease Type",District,"RRC Identifier","Field Name","Lease Name","Gas Well ID","Lease Total","Commingle Permit No.","On Hand Beginning of Month",Production,Volume,Code,"On Hand End of Month","Formation Production",Volume,Code
,Oil,08,55529,"MONAHANS, NORTH (CLEARFORK)","MARY READ",,,9602,22,322,327,"   01  ",17,931,931,"   02  "
Y,Oil,08,55690,"MONAHANS, NORTH (CLEARFORK)","THE DOCTOR",,,8844,206,"2,678","2,704","   01  ",180,"13,442","13,442","   02  "
,Oil,08,55836,"MONAHANS, NORTH (CLEARFORK)","BRASS MONKEY SESE",,,9602,100,"1,479","1,502","   01  ",77,"4,557","4,557","   02  "
,Oil,08,55852,"MONAHANS, NORTH (CLEARFORK)","WIDOW MAKER",,,9602,N/A,"5,409","5,483","   01  ",282,"27,370","27,370","   02  "
,Oil,08,56065,"MONAHANS, NORTH (CLEARFORK)",FLINTLOCK,,,9602,315,"8,467","8,341","   01  ",441,"12,460","12,460","   02  "
,Oil,08,41270,"MONAHANS, NORTH (GLORIETA)","MITCHELL ""D""",,,,205,471,330,"   01  ",346,16,16,"   02  "
,Oil,08,42979,"MONAHANS, NORTH (GLORIETA)","MITCHELL 'E'",,,,271,400,333,"   01  ",338,1,1,"   02  "
,Oil,08,35894,"RM (CLEARFORK)","WADDELL, W. N.",,,5424,0,0,,,0,0,,
,Gas,08,242283,"RUNNING W (MCKEE)","WADDELL TR A","  544  ",,4030,0,0,,,0,0,,
,Oil,08,16889,"RUNNING W (TUBB)","WADDELL TR A",,,4030,49,"1,757","1,735","   00  ",71,"12,505","12,505","   02  "
,,,,,,,,,,,,,,,"18,977","   10  "
,Gas,08,226228,"RUNNING W (TUBB)","WADDELL TR A"," 1955  ",,4030,44,19,,,63,"6,324","6,324","   02  "
,Oil,08,10932,"RUNNING W (WADDELL)","WADDELL TR A",,,4030,160,"3,227","3,184","   00  ",203,"49,678","49,678","   02  "
,,,,,,,,,,,,,,,"3,284","   10  "
,Oil,08,24053,"RUNNING W (WADDELL)","WADDELL, W. N. ET AL TR. E",,,,0,0,,,0,0,,
