"Search Criteria: "

"Filing Operator:",,,"BLACKBEARD OPERATING, LLC (073056)",,,,,,District:,,Statewide
"Prod Month:",,," Jun 2021",,,,,,"Lease Type:",,Both

,,,,,,,,,"Oil/Condensate (Whole Barrels)",,,,,"Gas/Casinghead Gas - MCF",,
,,,,,,,,,,,Disposition,,,,Disposition,
"Multiple Reports","Lease Type",District,"RRC Identifier","Field Name","Lease Name","Gas Well ID","Lease Total","Commingle Permit No.","On Hand Beginning of Month",Production,Volume,Code,"On Hand End of Month","Formation Production",Volume,Code
Y,Gas,08,128959,"KERMIT (YATES)","WALTON, J. B.","  335  ",,,0,0,,,0,20,20,"   02  "
Y,Gas,08,129967,"KERMIT (YATES)","WALTON, J. B.","  337  ",,,0,0,,,0,66,66,"   02  "
Y,Gas,08,129968,"KERMIT (YATES)","WALTON, J. B.","  338  ",,,0,0,,,0,850,850,"   02  "
Y,Gas,08,130227,"KERMIT (YATES)","WALTON, J. B.","  332  ",,,0,0,,,0,25,25,"   02  "
Y,Gas,08,130310,"KERMIT (YATES)","WALTON, J. B.","  339  ",,,0,0,,,0,70,70,"   02  "
Y,Gas,08,130375,"KERMIT (YATES)","WALTON, J. B.","  342  ",,,0,0,,,0,236,236,"   02  "
Y,Gas,08,130531,"KERMIT (YATES)",STATE-WALTON,"   85  ",,,0,0,,,0,429,429,"   02  "
Y,Gas,08,130657,"KERMIT (YATES)","WALTON, J. B.","  341  ",,5009,0,0,,,0,46,46,"   02  "
Y,Gas,08,130798,"KERMIT (YATES)","WALTON, J. B.","  286  ",,,0,0,,,0,248,248,"   02  "
Y,Gas,08,131342,"KERMIT (YATES)","STATE WALTON","   87  ",,,0,0,,,0,938,938,"   02  "
Y,Gas,08,131343,"KERMIT (YATES)","STATE WALTON","   86  ",,,0,0,,,0,197,197,"   02  "
Y,Gas,08,131838,"KERMIT (YATES)","WALTON, J. B.","  314  ",,,0,0,,,0,479,479,"   02  "
Y,Gas,08,132004,"KERMIT (YATES)","WALTON, J. B.","  336  ",,,0,0,,,0,"1,070","1,070","   02  "
Y,Gas,08,133925,"KERMIT (YATES)","STATE WALTON","   88  ",,,0,0,,,0,147,147,"   02  "
Y,Gas,08,134801,"KERMIT (YATES)","WALTON, J. B.","  346  ",,,0,0,,,0,293,293,"   02  "
Y,Gas,08,150248,"KERMIT (YATES)","WALTON, J. B.","  194  ",,,0,0,,,0,224,224,"   02  "
Y,Gas,08,150252,"KERMIT (YATES)","WALTON, J.B. AC/2","  198  ",,,0,0,,,0,214,214,"   02  "
Y,Gas,08,151063,"KERMIT (YATES)","STATE WALTON","   67  ",,,0,0,,,0,498,498,"   02  "
Y,Gas,08,153552,"KERMIT (YATES)","STATE WALTON","   69  ",,,0,0,,,0,0,,
Y,Gas,08,154633,"KERMIT (YATES)","WALTON, J. B.","  297  ",,,0,0,,,0,309,309,"   02  "
Y,Gas,08,156468,"KERMIT (YATES)","WALTON, J. B.","  301  ",,,0,0,,,0,10,10,"   02  "
Y,Gas,08,159638,"KERMIT (YATES)","WALTON, J. B","  348  ",,,0,0,,,0,220,220,"   02  "
Y,Gas,08,163363,"KERMIT (YATES)","WALTON, J. B.","  291  ",,,0,0,,,0,59,59,"   02  "
,Gas,08,166074,"KERMIT (YATES)","WALTON, J. B.","  295  ",,,0,0,,,0,30,30,"   02  "
,Gas,08,166717,"KERMIT (YATES)","WALTON, J. B.","  310  ",,5009,0,0,,,0,0,,
Y,Oil,08,03286,"KEYSTONE (COLBY)","STATE-WALTON A/C 2",,,,203,0,,,203,727,727,"   02  "
Y,Oil,08,03287,"KEYSTONE (COLBY)","WALTON, J. B. A/C 2",,,5009,545,0,,,545,809,809,"   02  "
Y,Oil,08,03317,"KEYSTONE (COLBY)","BASHARA, J. M.",,,3626,69,0,,,69,51,51,"   02  "
Y,Oil,08,03320,"KEYSTONE (COLBY)","PERKINS, J. J. -B- UPPER",,,,59,0,,,59,0,,
Y,Oil,08,27106,"KEYSTONE (COLBY)","KEYSTONE CATTLE COMPANY",,,5122,8,0,,,8,54,54,"   02  "
Y,Oil,08,31917,"KEYSTONE (COLBY)",WADDELL,,,5584,0,0,,,0,0,,
Y,Gas,08,257525,"KEYSTONE (COLBY)","WALTON, J. B. A/C 2","  347  ",,5009,0,0,,,0,0,,
Y,Oil,08,46977,"KEYSTONE (CONSOLIDATED)",BASHARA-PROTHRO,,,,785,0,,,785,"17,061","17,061","   02  "
Y,Oil,08,46979,"KEYSTONE (CONSOLIDATED)","BASHARA, J. M.",,,,185,0,,,185,170,170,"   02  "
Y,Oil,08,46980,"KEYSTONE (CONSOLIDATED)","KEYSTONE CATTLE CO.",,,,0,0,,,0,0,,
Y,Oil,08,46984,"KEYSTONE (CONSOLIDATED)","BASHARA, M. J.",,,,0,0,,,0,0,,
Y,Oil,08,46985,"KEYSTONE (CONSOLIDATED)","EAST KEYSTONE (SAN A HOLT UNIT)",,,,"2,169",0,,,"2,169",810,810,"   02  "
Y,Oil,08,49976,"KEYSTONE (CONSOLIDATED)","STATE-WALTON 'E'",,,,482,0,,,482,"5,190","5,190","   02  "
Y,Gas,08,152785,"KEYSTONE (CONSOLIDATED)","BASHARA, M.J. UNIT","    1  ",,,52,0,,,52,0,,
Y,Gas,08,183074,"KEYSTONE (CONSOLIDATED)","STATE-WALTON 'E'","   38H ",,,0,0,,,0,0,,
Y,Oil,08,23120,"KEYSTONE (SAN ANDRES)",WADDELL,,,5584,249,0,,,249,49,49,"   02  "
Y,Oil,08,23838,"KEYSTONE (SAN ANDRES)","WALTON ESTATE ""A""",,,,0,0,,,0,0,,
,Oil,08,35668,"KEYSTONE (SAN ANDRES)","J.J. PERKINS ""C""",,,,93,0,,,93,0,,
Y,Oil,08,43007,"KEYSTONE (SAN ANDRES)","EAST KEYSTONE(SAN A HOLT UNIT)",,,,111,0,,,111,204,204,"   02  "
Y,Oil,08,26628,"KEYSTONE, SW. (SAN ANDRES)","KEYSTONE CATTLE COMPANY",,,5122,528,0,,,528,668,668,"   02  "
,Oil,08,17869,"LEA (SAN ANDRES)","WADDELL, W. N. ET AL TR. H",,,4352,12,53,53,"   00  ",12,0,,
,Oil,08,20935,"LEA, SOUTH (CLEAR FORK)","WADDELL, W. N. ET AL TR. H",,,4352,92,285,313,"   00  ",64,0,,
,Oil,08,28619,"LEA, SOUTH (SAN ANGELO)","WADDELL, W.N. ETAL TR. H",,,4352,321,"1,177","1,234","   00  ",264,0,,
,Oil,08,26509,"MARSTON RANCH (CLEARFORK)",EDWARDS,,,,91,30,,,121,0,,
,Oil,08,40713,"MARSTON RANCH (CLEARFORK)",WINTER,,,,405,785,989,"   01  ",201,"3,080","3,080","   02  "
,Oil,08,42684,"MARSTON RANCH (CLEARFORK)",GRAHAM,,,,722,"2,682","2,646","   01  ",758,"5,099","5,099","   02  "
,Oil,08,43408,"MARSTON RANCH (CLEARFORK)","DAVID L. MARSTON",,,,497,"1,935","1,751","   01  ",681,"9,549","9,549","   02  "
,Oil,08,44073,"MARSTON RANCH (CLEARFORK)",ALLAR-MARSTON,,,7588,321,869,716,"   01  ",474,"2,081","2,081","   02  "
Y,Oil,08,45832,"MARSTON RANCH (CLEARFORK)",MARSTON-KOEHN,,,,279,98,174,"   01  ",203,183,183,"   02  "
,Oil,08,46148,"MARSTON RANCH (CLEARFORK)",DABB,,,,317,99,,,416,9,9,"   02  "
,Oil,08,47993,"MARSTON RANCH (CLEARFORK)","EDWARD TEACH",,,7649,226,424,450,"   01  ",200,"1,208","1,208","   02  "
,Oil,08,48135,"MARSTON RANCH (CLEARFORK)","QUEEN ANNES REVENGE",,,,412,"1,098","1,047","   01  ",463,"2,254","2,254","   02  "
,Oil,08,48336,"MARSTON RANCH (CLEARFORK)","EDWARD TEACH SE",,,7649,176,358,365,"   01  ",169,715,715,"   02  "
,Oil,08,49375,"MARSTON RANCH (CLEARFORK)","EDWARD TEACH SW",,,7649,36,0,36,"   01  ",0,0,,
,Oil,08,51749,"MARSTON RANCH (CLEARFORK)","MAN OF WAR W",,,7903,0,0,,,0,0,,
