"Search Criteria: "

"Filing Operator:",,,"BLACKBEARD OPERATING, LLC (073056)",,,,,,District:,,Statewide
"Prod Month:",,," Jan 2021",,,,,,"Lease Type:",,Both

,,,,,,,,,"Oil/Condensate (Whole Barrels)",,,,,"Gas/Casinghead Gas - MCF",,
,,,,,,,,,,,Disposition,,,,Disposition,
"Multiple Reports","Lease Type",District,"RRC Identifier","Field Name","Lease Name","Gas Well ID","Lease Total","Commingle Permit No.","On Hand Beginning of Month",Production,Volume,Code,"On Hand End of Month","Formation Production",Volume,Code
,Oil,08,46977,"KEYSTONE (CONSOLIDATED)",BASHARA-PROTHRO,,,,363,"1,860","1,638","   01  ",585,"6,526","6,526","   02  "
,Oil,08,46979,"KEYSTONE (CONSOLIDATED)","BASHARA, J. M.",,,,144,244,240,"   01  ",148,176,176,"   02  "
,Oil,08,46980,"KEYSTONE (CONSOLIDATED)","KEYSTONE CATTLE CO.",,,,0,0,,,0,0,,
,Oil,08,46984,"KEYSTONE (CONSOLIDATED)","BASHARA, M. J.",,,,0,0,,,0,0,,
,Oil,08,46985,"KEYSTONE (CONSOLIDATED)","EAST KEYSTONE (SAN A HOLT UNIT)",,,,"2,099","2,605","2,850","   01  ","1,854",804,804,"   02  "
,Oil,08,49976,"KEYSTONE (CONSOLIDATED)","STATE-WALTON 'E'",,,,361,972,976,"   01  ",357,"6,498","6,498","   02  "
,Gas,08,152785,"KEYSTONE (CONSOLIDATED)","BASHARA, M.J. UNIT","    1  ",,,52,0,,,52,125,125,"   02  "
,Gas,08,183074,"KEYSTONE (CONSOLIDATED)","STATE-WALTON 'E'","   38H ",,,0,0,,,0,0,,
,Oil,08,23120,"KEYSTONE (SAN ANDRES)",WADDELL,,,5584,319,329,326,"   01  ",322,159,159,"   02  "
,Oil,08,23838,"KEYSTONE (SAN ANDRES)","WALTON ESTATE ""A""",,,,0,0,,,0,0,,
,Oil,08,35668,"KEYSTONE (SAN ANDRES)","J.J. PERKINS ""C""",,,,93,0,,,93,0,,
,Oil,08,36333,"KEYSTONE (SAN ANDRES)","TRINITY ""A"" UNIT",,,,0,0,,,0,0,,
,Oil,08,43007,"KEYSTONE (SAN ANDRES)","EAST KEYSTONE(SAN A HOLT UNIT)",,,,103,128,140,"   01  ",91,635,635,"   02  "
,Oil,08,26628,"KEYSTONE, SW. (SAN ANDRES)","KEYSTONE CATTLE COMPANY",,,5122,390,"1,096","1,154","   01  ",332,725,725,"   02  "
,Oil,08,17869,"LEA (SAN ANDRES)","WADDELL, W. N. ET AL TR. H",,,4352,9,43,47,"   01  ",5,0,,
,Oil,08,20935,"LEA, SOUTH (CLEAR FORK)","WADDELL, W. N. ET AL TR. H",,,4352,72,295,335,"   01  ",32,0,,
,Oil,08,28619,"LEA, SOUTH (SAN ANGELO)","WADDELL, W.N. ETAL TR. H",,,4352,216,"1,111","1,207","   01  ",120,0,,
,Oil,08,26509,"MARSTON RANCH (CLEARFORK)",EDWARDS,,,,128,31,,,159,0,,
Y,Oil,08,40713,"MARSTON RANCH (CLEARFORK)",WINTER,,,,293,772,713,"   01  ",352,"3,084","3,084","   02  "
Y,Oil,08,42684,"MARSTON RANCH (CLEARFORK)",GRAHAM,,,,569,"3,311","3,194","   01  ",686,"8,039","8,039","   02  "
,Oil,08,43408,"MARSTON RANCH (CLEARFORK)","DAVID L. MARSTON",,,,677,"2,486","2,628","   01  ",535,"9,320","9,320","   02  "
,Oil,08,44073,"MARSTON RANCH (CLEARFORK)",ALLAR-MARSTON,,,7588,476,"1,051","1,230","   01  ",297,"2,280","2,280","   02  "
Y,Oil,08,45832,"MARSTON RANCH (CLEARFORK)",MARSTON-KOEHN,,,,226,104,174,"   01  ",156,262,262,"   02  "
Y,Oil,08,46148,"MARSTON RANCH (CLEARFORK)",DABB,,,,125,89,,,214,235,235,"   02  "
Y,Oil,08,47993,"MARSTON RANCH (CLEARFORK)","EDWARD TEACH",,,7649,157,561,515,"   01  ",203,"1,502","1,502","   02  "
Y,Oil,08,48135,"MARSTON RANCH (CLEARFORK)","QUEEN ANNES REVENGE",,,,398,"1,389","1,406","   01  ",381,"4,331","4,331","   02  "
Y,Oil,08,48336,"MARSTON RANCH (CLEARFORK)","EDWARD TEACH SE",,,7649,126,376,366,"   01  ",136,"1,180","1,180","   02  "
Y,Oil,08,49375,"MARSTON RANCH (CLEARFORK)","EDWARD TEACH SW",,,7649,43,210,177,"   01  ",76,366,366,"   02  "
,Oil,08,51749,"MARSTON RANCH (CLEARFORK)","MAN OF WAR W",,,7903,0,0,,,0,0,,
,Oil,08,53025,"MARSTON RANCH (CLEARFORK)","BLACK BART",,,7903,140,0,,,140,0,,
,Oil,08,53422,"MARSTON RANCH (CLEARFORK)",SWASHBUCKLER,,,7781,194,300,272,"   01  ",222,"1,340","1,340","   02  "
,Oil,08,53498,"MARSTON RANCH (CLEARFORK)","SWASHBUCKLER SE",,,7781,62,61,78,"   01  ",45,280,280,"   02  "
,Oil,08,04232,"MCKEE (CLEAR FORK, LOWER)","WADDELL, W. N., ETAL",,,3803,0,0,,,0,0,,
,Gas,08,186517,"MCKEE (CLEAR FORK, MID.)","WADDELL, W. N. ET AL TR. I","  218  ",,3803,0,0,,,0,368,368,"   02  "
,Gas,08,192876,"MCKEE (CLEAR FORK, MID.)","WADDELL, W. N. ET AL TR. I","  301  ",,3803,0,0,,,0,962,962,"   02  "
,Gas,08,194368,"MCKEE (CLEAR FORK, MID.)","WADDELL, W. N. ET AL","  232  ",,3803,0,0,,,0,641,641,"   02  "
,Gas,08,212805,"MCKEE (CLEAR FORK, MID.)","WADDELL, W. N. ET AL","  261  ",,,0,0,,,0,0,,
,Oil,08,24408,"MCKEE (WOLFCAMP)","WADDELL, W. N. ET AL TR 1",,,3803,0,0,,,0,0,,
,Oil,08,50100,"MONAHANS (CLEAR FORK)",DOUBLOON,,,,172,0,,,172,0,,
,Oil,08,52655,"MONAHANS (CLEAR FORK)","OCRACOKE ISLAND",,,,85,0,,,85,0,,
,Oil,08,51099,"MONAHANS, NORTH","SEALY SMITH FOUNDATION -A-",,,8814,"1,111","5,229","5,460","   01  ",880,"66,283","66,283","   02  "
Y,Oil,08,55551,"MONAHANS, NORTH","NELSON'S FOLLY",,,8814,159,624,724,"   01  ",59,"1,106","1,106","   02  "
,Oil,08,55726,"MONAHANS, NORTH",DORADO,,,,241,0,,,241,0,,
,Oil,08,34235,"MONAHANS, NORTH (CLEARFORK)","HOGG, F. H.",,,8146,233,33,174,"   01  ",92,0,,
,Oil,08,48675,"MONAHANS, NORTH (CLEARFORK)","WALK THE PLANK",,,8672,571,"2,521","2,482","   01  ",610,"12,191","12,191","   02  "
,Oil,08,49056,"MONAHANS, NORTH (CLEARFORK)","MITCHELL, C.",,,,45,0,,,45,0,,
,Oil,08,49301,"MONAHANS, NORTH (CLEARFORK)",MAROONER,,,8107,768,"7,814","8,002","   01  ",580,0,,
Y,Oil,08,49353,"MONAHANS, NORTH (CLEARFORK)","FRANCIS DRAKE",,,8146,347,"4,731","4,588","   01  ",490,"14,575","14,575","   02  "
,Oil,08,49490,"MONAHANS, NORTH (CLEARFORK)","SEALY SMITH FOUNDATION -A-",,,8814,"3,828","17,662","18,087","   01  ","3,403","69,188","69,188","   02  "
Y,Oil,08,49561,"MONAHANS, NORTH (CLEARFORK)",HORNSWOGGLE,,,,407,"8,389","8,184","   01  ",612,"20,471","20,471","   02  "
Y,Oil,08,50028,"MONAHANS, NORTH (CLEARFORK)","SEALY-SMITH FOUNDATION ""B""",,,,"1,219","12,782","12,845","   01  ","1,156","28,560","28,560","   02  "
,Oil,08,50090,"MONAHANS, NORTH (CLEARFORK)","PEG LEG",,,,0,0,,,0,0,,
,Oil,08,50130,"MONAHANS, NORTH (CLEARFORK)",COMMANDEER,,,8107,301,"3,816","3,837","   01  ",280,0,,
Y,Oil,08,50423,"MONAHANS, NORTH (CLEARFORK)","FRANCIS DRAKE N",,,8146,699,"2,318","2,552","   01  ",465,"9,875","9,875","   02  "
,Oil,08,51085,"MONAHANS, NORTH (CLEARFORK)","GILDED LADY",,,,0,0,,,0,0,,
Y,Oil,08,51202,"MONAHANS, NORTH (CLEARFORK)","CAPTAIN MORGAN",,,8107,260,"3,303","3,322","   01  ",241,"14,854","14,854","   02  "
,Oil,08,52357,"MONAHANS, NORTH (CLEARFORK)","SPANISH MAIN W",,,8814,585,"3,135","3,253","   01  ",467,"10,364","10,364","   02  "
,Oil,08,52884,"MONAHANS, NORTH (CLEARFORK)",PRIVATEER,,,8844,126,"2,532","2,498","   01  ",160,"5,796","5,796","   02  "
