"Search Criteria: "

"Filing Operator:",,,"BLACKBEARD OPERATING, LLC (073056)",,,,,,District:,,Statewide
"Prod Month:",,," Mar 2021",,,,,,"Lease Type:",,Both

,,,,,,,,,"Oil/Condensate (Whole Barrels)",,,,,"Gas/Casinghead Gas - MCF",,
,,,,,,,,,,,Disposition,,,,Disposition,
"Multiple Reports","Lease Type",District,"RRC Identifier","Field Name","Lease Name","Gas Well ID","Lease Total","Commingle Permit No.","On Hand Beginning of Month",Production,Volume,Code,"On Hand End of Month","Formation Production",Volume,Code
,Oil,08,23838,"KEYSTONE (SAN ANDRES)","WALTON ESTATE ""A""",,,,0,0,,,0,0,,
,Oil,08,35668,"KEYSTONE (SAN ANDRES)","J.J. PERKINS ""C""",,,,93,0,,,93,0,,
,Oil,08,43007,"KEYSTONE (SAN ANDRES)","EAST KEYSTONE(SAN A HOLT UNIT)",,,,75,120,80,"   01  ",115,558,558,"   02  "
,Oil,08,26628,"KEYSTONE, SW. (SAN ANDRES)","KEYSTONE CATTLE COMPANY",,,5122,303,"1,043",987,"   01  ",359,809,809,"   02  "
,Oil,08,17869,"LEA (SAN ANDRES)","WADDELL, W. N. ET AL TR. H",,,4352,9,47,44,"   00  ",12,0,,
,Oil,08,20935,"LEA, SOUTH (CLEAR FORK)","WADDELL, W. N. ET AL TR. H",,,4352,72,337,324,"   00  ",85,0,,
,Oil,08,28619,"LEA, SOUTH (SAN ANGELO)","WADDELL, W.N. ETAL TR. H",,,4352,262,619,725,"   00  ",156,0,,
,Oil,08,26509,"MARSTON RANCH (CLEARFORK)",EDWARDS,,,,180,29,,,209,0,,
,Oil,08,40713,"MARSTON RANCH (CLEARFORK)",WINTER,,,,294,792,683,"   01  ",403,"3,409","3,409","   02  "
,Oil,08,42684,"MARSTON RANCH (CLEARFORK)",GRAHAM,,,,810,"2,870","3,152","   01  ",528,"7,879","7,879","   02  "
,Oil,08,43408,"MARSTON RANCH (CLEARFORK)","DAVID L. MARSTON",,,,676,"2,437","2,602","   01  ",511,"9,678","9,678","   02  "
,Oil,08,44073,"MARSTON RANCH (CLEARFORK)",ALLAR-MARSTON,,,7588,605,"1,052","1,234","   01  ",423,"2,279","2,279","   02  "
Y,Oil,08,45832,"MARSTON RANCH (CLEARFORK)",MARSTON-KOEHN,,,,207,99,163,"   01  ",143,243,243,"   02  "
,Oil,08,46148,"MARSTON RANCH (CLEARFORK)",DABB,,,,103,92,,,195,0,,
,Oil,08,47993,"MARSTON RANCH (CLEARFORK)","EDWARD TEACH",,,7649,223,586,569,"   01  ",240,"1,381","1,381","   02  "
,Oil,08,48135,"MARSTON RANCH (CLEARFORK)","QUEEN ANNES REVENGE",,,,553,"1,351","1,368","   01  ",536,"4,324","4,324","   02  "
,Oil,08,48336,"MARSTON RANCH (CLEARFORK)","EDWARD TEACH SE",,,7649,117,405,356,"   01  ",166,"1,107","1,107","   02  "
,Oil,08,49375,"MARSTON RANCH (CLEARFORK)","EDWARD TEACH SW",,,7649,28,155,119,"   01  ",64,327,327,"   02  "
,Oil,08,51749,"MARSTON RANCH (CLEARFORK)","MAN OF WAR W",,,7903,0,0,,,0,0,,
,Oil,08,53025,"MARSTON RANCH (CLEARFORK)","BLACK BART",,,7903,140,0,,,140,0,,
,Oil,08,53422,"MARSTON RANCH (CLEARFORK)",SWASHBUCKLER,,,7781,323,325,444,"   01  ",204,"1,594","1,594","   02  "
