"Search Criteria: "

"Filing Operator:",,,"BLACKBEARD OPERATING, LLC (073056)",,,,,,District:,,Statewide
"Prod Month:",,," Aug 2021",,,,,,"Lease Type:",,Both

,,,,,,,,,"Oil/Condensate (Whole Barrels)",,,,,"Gas/Casinghead Gas - MCF",,
,,,,,,,,,,,Disposition,,,,Disposition,
"Multiple Reports","Lease Type",District,"RRC Identifier","Field Name","Lease Name","Gas Well ID","Lease Total","Commingle Permit No.","On Hand Beginning of Month",Production,Volume,Code,"On Hand End of Month","Formation Production",Volume,Code
,,08,53009,"MONAHANS, NORTH (CLEARFORK)","CAPTAIN KIDD",,,8672,118,385,378,"   01  ",125,,,
,,08,53009,"MONAHANS, NORTH (CLEARFORK)","CAPTAIN KIDD",,,9999,447,"1,431","1,470","   01  ",408,,,
,Oil,08,53084,"MONAHANS, NORTH (CLEARFORK)",DINGHY,,,8844,135,"1,917","1,899","   01  ",153,"13,928","13,928","   02  "
,Oil,08,55529,"MONAHANS, NORTH (CLEARFORK)","MARY READ",,,9602,10,291,286,"   01  ",15,981,981,"   02  "
Y,Oil,08,55690,"MONAHANS, NORTH (CLEARFORK)","THE DOCTOR",,,8844,255,"3,283","3,276","   01  ",262,"15,537","15,537","   02  "
Y,Oil,08,55836,"MONAHANS, NORTH (CLEARFORK)","BRASS MONKEY SESE",,,9602,97,"1,895","1,897","   01  ",95,"6,190","6,190","   02  "
,,,,,,,,,"OOB wrong CP #",,,,,,,
Y,Oil,08,55852,"MONAHANS, NORTH (CLEARFORK)","WIDOW MAKER",,,9546,71,"2,653","2,568","   01  ",133,"13,292","13,292","   02  "
,Oil,08,56065,"MONAHANS, NORTH (CLEARFORK)",FLINTLOCK,,,9602,217,"4,169","4,177","   01  ",209,"8,501","8,501","   02  "
,Oil,08,41270,"MONAHANS, NORTH (GLORIETA)","MITCHELL ""D""",,,,225,421,317,"   01  ",329,20,20,"   02  "
,Oil,08,42979,"MONAHANS, NORTH (GLORIETA)","MITCHELL 'E'",,,,278,491,501,"   01  ",268,22,22,"   02  "
,Oil,08,35894,"RM (CLEARFORK)","WADDELL, W. N.",,,5424,0,0,,,0,0,,
,Gas,08,242283,"RUNNING W (MCKEE)","WADDELL TR A","  544  ",,4030,0,0,,,0,0,,
,Oil,08,16889,"RUNNING W (TUBB)","WADDELL TR A",,,4030,54,482,495,"   00  ",41,"1,071","1,071","   02  "
