"Search Criteria: "

"Filing Operator:",,,"BLACKBEARD OPERATING, LLC (073056)",,,,,,District:,,Statewide
"Prod Month:",,," Apr 2021",,,,,,"Lease Type:",,Both

,,,,,,,,,"Oil/Condensate (Whole Barrels)",,,,,"Gas/Casinghead Gas - MCF",,
,,,,,,,,,,,Disposition,,,,Disposition,
"Multiple Reports","Lease Type",District,"RRC Identifier","Field Name","Lease Name","Gas Well ID","Lease Total","Commingle Permit No.","On Hand Beginning of Month",Production,Volume,Code,"On Hand End of Month","Formation Production",Volume,Code
,Gas,08,156468,"KERMIT (YATES)","WALTON, J. B.","  301  ",,,0,0,,,0,9,9,"   02  "
,Gas,08,159638,"KERMIT (YATES)","WALTON, J. B","  348  ",,,0,0,,,0,195,195,"   02  "
,Gas,08,163363,"KERMIT (YATES)","WALTON, J. B.","  291  ",,,0,0,,,0,52,52,"   02  "
,Gas,08,166074,"KERMIT (YATES)","WALTON, J. B.","  295  ",,,0,0,,,0,27,27,"   02  "
,Gas,08,166717,"KERMIT (YATES)","WALTON, J. B.","  310  ",,5009,0,0,,,0,0,,
,Oil,08,03286,"KEYSTONE (COLBY)","STATE-WALTON A/C 2",,,,221,467,310,"   01  ",378,575,575,"   02  "
,Oil,08,03287,"KEYSTONE (COLBY)","WALTON, J. B. A/C 2",,,5009,576,"1,291","1,226","   01  ",641,719,719,"   02  "
,Oil,08,03317,"KEYSTONE (COLBY)","BASHARA, J. M.",,,3626,74,87,87,"   01  ",74,50,50,"   02  "
,Oil,08,03320,"KEYSTONE (COLBY)","PERKINS, J. J. -B- UPPER",,,,59,0,,,59,0,,
,Oil,08,27106,"KEYSTONE (COLBY)","KEYSTONE CATTLE COMPANY",,,5122,6,16,15,"   01  ",7,14,14,"   02  "
,Oil,08,31917,"KEYSTONE (COLBY)",WADDELL,,,5584,0,0,,,0,0,,
,Gas,08,257525,"KEYSTONE (COLBY)","WALTON, J. B. A/C 2","  347  ",,5009,0,0,,,0,0,,
