"Search Criteria: "

"Filing Operator:",,,"BLACKBEARD OPERATING, LLC (073056)",,,,,,District:,,Statewide
"Prod Month:",,," Feb 2021",,,,,,"Lease Type:",,Both

,,,,,,,,,"Oil/Condensate (Whole Barrels)",,,,,"Gas/Casinghead Gas - MCF",,
,,,,,,,,,,,Disposition,,,,Disposition,
"Multiple Reports","Lease Type",District,"RRC Identifier","Field Name","Lease Name","Gas Well ID","Lease Total","Commingle Permit No.","On Hand Beginning of Month",Production,Volume,Code,"On Hand End of Month","Formation Production",Volume,Code
,Oil,08,52884,"MONAHANS, NORTH (CLEARFORK)",PRIVATEER,,,8844,160,"2,127","2,170","   01  ",117,"4,890","4,890","   02  "
,Oil,08,52891,"MONAHANS, NORTH (CLEARFORK)","DRAKE'S DRUM",,,8844,125,"1,776","1,804","   01  ",97,"8,176","8,176","   02  "
Y,Oil,08,53009,"MONAHANS, NORTH (CLEARFORK)","CAPTAIN KIDD",,T,,624,"2,660","2,577","   01  ",707,"6,478","6,478","   02  "
,,08,53009,"MONAHANS, NORTH (CLEARFORK)","CAPTAIN KIDD",,,8672,163,606,613,"   01  ",155,0,,
,,08,53009,"MONAHANS, NORTH (CLEARFORK)","CAPTAIN KIDD",,,9999,461,"2,054","1,964","   01  ",552,0,,
,Oil,08,53084,"MONAHANS, NORTH (CLEARFORK)",DINGHY,,,8844,207,"2,519","2,588","   01  ",138,"14,536","14,536","   02  "
,Oil,08,55529,"MONAHANS, NORTH (CLEARFORK)","MARY READ",,,9546,28,387,415,"   01  ",0,681,681,"   02  "
Y,Oil,08,55690,"MONAHANS, NORTH (CLEARFORK)","THE DOCTOR",,,8844,703,"8,497","8,734","   01  ",466,"29,394","29,394","   02  "
,Oil,08,55836,"MONAHANS, NORTH (CLEARFORK)","BRASS MONKEY SESE",,,9546,0,0,,,0,0,,
Y,Oil,08,55852,"MONAHANS, NORTH (CLEARFORK)","WIDOW MAKER",,,9546,119,"1,303","1,422","   01  ",0,"2,515","2,515","   02  "
,Oil,08,35894,"RM (CLEARFORK)","WADDELL, W. N.",,,5424,0,0,,,0,0,,
,Gas,08,242283,"RUNNING W (MCKEE)","WADDELL TR A","  544  ",,4030,0,0,,,0,0,,
,Oil,08,16889,"RUNNING W (TUBB)","WADDELL TR A",,,4030,90,174,90,"   00  ",174,"4,754","4,754","   02  "
,Gas,08,226228,"RUNNING W (TUBB)","WADDELL TR A"," 1955  ",,4030,0,0,,,0,561,561,"   02  "
,Oil,08,10932,"RUNNING W (WADDELL)","WADDELL TR A",,,4030,143,786,666,"   00  ",263,"23,807","23,807","   02  "
,Oil,08,24053,"RUNNING W (WADDELL)","WADDELL, W. N. ET AL TR. E",,,,0,0,,,0,0,,
,Gas,08,183068,"RUNNING W (WADDELL)","WADDELL TR A","  380  ",,,0,0,,,0,0,,
,Oil,08,36037,"RUNNING W (WICHITA-ALBANY)","MCKNIGHT, M. B. C",,,6933,15,49,59,"   00  ",5,"1,008","1,008","   02  "
,Oil,08,48213,"RUNNING W (WICHITA-ALBANY)","WADDELL, W. N.",,T,,77,38,100,"   01  ",15,168,168,"   02  "
